title,author,cover_url
THE WAGER, David Grann,https://storage.googleapis.com/du-prd/books/images/9780385534260.jpg
OUTLIVE, Peter Attia with Bill Gifford,https://storage.googleapis.com/du-prd/books/images/9780593236598.jpg
YOU CAN'T JOKE ABOUT THAT, Kat Timpf,https://storage.googleapis.com/du-prd/books/images/9780063270428.jpg
I'M GLAD MY MOM DIED, Jennette McCurd,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg
SPARE, Prince Harr,https://storage.googleapis.com/du-prd/books/images/9780593593806.jpg
THE LIGHT WE CARRY, Michelle Obama,https://storage.googleapis.com/du-prd/books/images/9780593237465.jpg
"POVERTY, BY AMERICA", Matthew Desmond,https://storage.googleapis.com/du-prd/books/images/9780593239919.jpg
GREENLIGHTS, Matthew McConaughe,https://storage.googleapis.com/du-prd/books/images/9780593139134.jpg
I SWEAR, Katie Porter,https://storage.googleapis.com/du-prd/books/images/9780593443989.jpg
YOU COULD MAKE THIS PLACE BEAUTIFUL, Maggie Smith,https://storage.googleapis.com/du-prd/books/images/9781982185855.jpg
IT. GOES. SO. FAST., Mary Louise Kell,https://storage.googleapis.com/du-prd/books/images/9781250859853.jpg
THE COURAGE TO BE FREE, Ron DeSantis,https://storage.googleapis.com/du-prd/books/images/9780063276000.jpg
FOLLOW ME TO HELL, Tom Clavin,https://storage.googleapis.com/du-prd/books/images/9781250214553.jpg
GOT YOUR NUMBER, Mike Greenberg with Paul Hembekides,https://storage.googleapis.com/du-prd/books/images/9781368073561.jpg
CHOOSING TO RUN, Des Linden with Bonnie D. Ford,https://storage.googleapis.com/du-prd/books/images/9780593186640.jpg
